threshold_gamma,num_nonlocal_gates,depth,num_parameters
0.9498768459549557,3772,4835,3
0.9511285634813033,3780,4583,3
0.9523802810076507,3788,4794,3
0.9536319985339983,3796,4662,3
0.9548044888951119,3876,5198,3
0.9559769792562256,3956,4665,3
0.957064737724521,3968,4851,3
0.9581524961928165,3980,4740,3
0.959240254661112,3992,4832,3
0.9603280131294074,4004,4768,3
0.9613627274306751,4100,4984,3
0.9623974417319426,4052,4867,3
0.9634321560332102,4148,5040,3
0.9644668703344779,4100,4869,3
0.9654290547023923,4196,5270,3
0.9663912390703067,4148,5107,3
0.9673534234382211,4244,5285,3
0.9683156078061355,4196,5050,3
0.9692700970253091,4204,5184,3
0.9702245862444826,4212,4957,3
0.9711790754636562,4220,5132,3
0.9721335646828297,4228,5006,3
0.9730745625813381,4372,5542,3
0.9740155604798465,4300,5252,3
0.9749565583783548,4444,5483,3
0.9758975562768631,4372,5152,3
0.9768162545964854,4372,5152,3
0.9777349529161075,4372,5152,3
0.9785414105052908,4452,5463,3
0.9793478680944739,4412,5414,3
0.9801543256836572,4492,5357,3
0.9809607832728404,4452,5248,3
0.9817232723114625,4464,5403,3
0.9824857613500845,4476,5558,3
0.9832482503887066,4488,5458,3
0.9840107394273285,4500,5394,3
0.9847456192910585,4548,5809,3
0.9854804991547886,4524,5656,3
0.9862153790185186,4572,6061,3
0.9869502588822487,4548,5478,3
0.9876736063651921,4556,5660,3
0.9883969538481354,4564,5561,3
0.9890927817119026,4572,5856,3
0.9897886095756699,4580,5513,3
0.9904525777971045,4604,5640,3
0.991116546018539,4628,5624,3
0.9916234994778909,4756,5924,3
0.9921304529372427,4884,5929,3
0.9926374063965945,4820,5929,3
0.9931443598559463,4756,5653,3
0.9936261780196015,4772,5989,3
0.9941079961832568,4788,5704,3
0.9945898143469121,4804,5844,3
0.9950716325105673,4820,5659,3
0.9955395509023875,4828,5960,3
0.9960074692942077,4836,5872,3
0.996407997770565,4848,6075,3
0.9968085262469223,4860,5891,3
0.9971745590188523,4972,6199,3
0.9975405917907824,4916,6180,3
0.9979066245627124,5028,6008,3
0.9982726573346424,4972,6011,3
0.998526449376134,4952,5975,3
0.9987802414176256,4932,6065,3
0.9989063546999899,4956,6563,3
0.9990324679823543,4980,6069,3
0.9991585812647187,5004,6452,3
0.9992846945470831,5028,6164,3
0.9993969352775219,5140,6386,3
0.9995091760079609,5084,6308,3
0.9996214167383998,5196,6418,3
0.9997336574688387,5140,6164,3
0.9997727234824529,5204,6613,3
0.9998117894960672,5172,6610,3
0.9998508555096813,5236,6539,3
0.9998899215232956,5204,6311,3
0.9999174411424716,5364,6595,3
0.9999449607616476,5284,6741,3
0.9999724803808236,5444,6985,3
0.9999999999999997,5364,6613,3
